placekey,parent_placekey,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_closed_since,geometry_type,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_home_aggregation,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_week_brand,device_type,normalized_visits_by_state_scaling,normalized_visits_by_region_naics_visits,normalized_visits_by_region_naics_visitors,normalized_visits_by_total_visits,normalized_visits_by_total_visitors
224-223@63c-rjh-pd9,,La Cabra Craft Tacos,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,39.955599,-82.004667,1335 Linden Ave,Zanesville,OH,43701,US,17402978132,,"Brunch,Mexican Food",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,115,75,"[13,16,19,13,17,24,13]","[0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,1,1,1,1,1,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,2,4,3,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,1,7,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,3,0,1,1,1,1,3,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,2,0,0,1,0,0,0,1,0]",391199118004,"{""390897574002"":5,""391130005005"":4,""391199127003"":4,""391199126001"":4,""391199116004"":4,""391199116003"":4,""391199112003"":4,""391199111003"":4,""391199111002"":4,""391279662003"":4,""390450329004"":4,""390830072002"":4,""391199128002"":4,""470930058082"":4,""391199123001"":4,""391199127002"":4,""390897589006"":4,""391199117001"":4,""391199127001"":4}","{""39119911700"":7,""39119912100"":5,""47093005808"":4,""39119912400"":4,""39119911500"":4,""39089757400"":4,""39119911300"":4,""39119912000"":4,""39089754101"":4,""39119911200"":4,""39119912300"":4,""39119912800"":4,""39083006801"":4,""39119911100"":4,""39089758900"":4,""39119911600"":4,""39119912700"":4}","{""391199112004"":5,""391130005005"":4,""391199128002"":4,""390830068013"":4,""390830072002"":4,""391199111003"":4,""390897589006"":4,""391199117001"":4,""390450329004"":4,""391199116003"":4,""391199117003"":4,""391199115004"":4,""470930058082"":4,""391199124003"":4,""391199127001"":4}","{""US"":72}",9064,45,"{""<5"":1,""5-10"":22,""11-20"":3,""21-60"":43,""61-120"":23,""121-240"":4,"">240"":19}","{""Country Fair"":16,""McDonald's"":14,""Walmart"":12,""Taco Bell"":9,""Duchess"":8,""Tim Hortons"":8,""BP"":6,""Wendy's"":6,""KFC"":5,""Speedway"":5,""Dairy Queen"":5,""Kroger"":4,""The Home Depot"":4,""GameStop"":4,""Marathon"":4,""Subway"":4,""Smoker Friendly"":3,""Lowe's"":3,""Starbucks"":3,""Sheetz"":3}","{""Walmart"":40,""McDonald's"":39,""Country Fair"":32,""Kroger"":28,""BP"":25,""Sheetz"":23,""Subway"":23,""Duchess"":21,""Taco Bell"":17,""Speedway"":16,""Dollar General"":16,""Dairy Queen"":16,""Wendy's"":12,""CVS"":12,""Tim Hortons"":12,""Marathon"":12,""KFC"":11,""Arby's"":11,""Smoker Friendly"":9,""Lowe's"":9}","{""android"":27,""ios"":47}",1319.315221,5.81E-05,7.30E-05,6.62E-06,1.55E-05
222-222@63d-kqz-49z,,Burger King,SG_BRAND_60d8d6d29e2c4b14f4ea1983baefd36e,Burger King,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,40.295395,-78.836567,440 Galleria Dr,Johnstown,PA,15904,US,18142627551,"{ ""Mon"": [[""6:00"", ""22:00""]], ""Tue"": [[""6:00"", ""22:00""]], ""Wed"": [[""6:00"", ""22:00""]], ""Thu"": [[""6:00"", ""22:00""]], ""Fri"": [[""6:00"", ""22:00""]], ""Sat"": [[""6:00"", ""22:00""]], ""Sun"": [[""6:00"", ""22:00""]] }","Counter Service,Late Night,Lunch,Fast Food,Drive Through,Breakfast,Dinner,Burgers",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,98,83,"[5,6,15,13,19,22,18]","[0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,1,4,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,6,3,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,3,4,0,1,3,0,0,0,0,0,0]",420210107001,"{""420210105002"":6,""420210133002"":5,""420210125003"":4,""420210113003"":4,""421110201024"":4,""420210113001"":4,""340130028001"":4,""420210129004"":4,""420210114004"":4,""420210101004"":4,""420210107002"":4,""420210102002"":4,""420210133001"":4,""420210110001"":4,""420210127001"":4,""420210108013"":4,""420210101003"":4,""420210106001"":4,""420210103001"":4}","{""42021013300"":9,""42021010300"":8,""42021010700"":7,""42021011900"":4,""42021010500"":4,""42021013200"":4,""42021010100"":4,""42021010801"":4,""42021010600"":4,""42111020200"":4,""42021000700"":4,""42021013600"":4,""42111020400"":4,""42111020102"":4,""42021013100"":4,""42021013500"":4}","{""420210107001"":5,""420210133004"":4,""420210132004"":4,""420210136002"":4,""420210129002"":4,""420210101002"":4,""421110203003"":4,""420210131001"":4,""420210103001"":4,""420210133003"":4,""420210002002"":4,""420210125003"":4,""420210114004"":4,""420210133002"":4,""420210136003"":4,""420210135001"":4,""420210120005"":4,""340130028001"":4,""420210137001"":4,""421110215001"":4,""420210105002"":4,""421110204001"":4,""420210007003"":4}","{""US"":83}",7756,11,"{""<5"":7,""5-10"":39,""11-20"":26,""21-60"":17,""61-120"":2,""121-240"":5,"">240"":2}","{""Sheetz"":30,""Walmart"":10,""ALDI"":10,""Taco Bell"":9,""Cricket Wireless"":8,""Dollar General"":6,""Rite Aid"":5,""AT&T"":4,""T.J. Maxx"":3,""Primanti Bros."":3,""Dairy Queen"":3,""McDonald's"":3,""Subway"":3,""Dollar Tree"":3,""Kawasaki Motors"":2,""Ross Stores"":2,""KFC"":2,""Starbucks"":2,""Big Lots Stores"":2,""United States Postal Service (USPS)"":2}","{""Sheetz"":66,""Walmart"":45,""McDonald's"":30,""Dollar General"":29,""Dairy Queen"":16,""Sunoco"":16,""Subway"":16,""ALDI"":14,""Cricket Wireless"":14,""Rite Aid"":13,""Family Dollar Stores"":13,""Taco Bell"":12,""T.J. Maxx"":11,""Dollar Tree"":11,""AT&T"":8,""Perkins Restaurant & Bakery"":8,""Arby's"":8,""IGA"":7,""Primanti Bros."":7,""Wendy's"":7}","{""android"":40,""ios"":41}",1289.836533,6.71E-05,8.71E-05,6.68E-06,1.86E-05
zzz-222@63p-c9b-j5f,,Delaware Avenue Complex,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.695458,-76.254568,Delaware St,Minersville,PA,17954,US,,,,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,17,14,"[1,1,5,2,2,2,4]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0]",421070014001,"{""421070015005"":4,""421070015001"":4,""421070009002"":4}","{""42107001500"":8,""42107000602"":4}","{""421070014001"":4,""421070015005"":4,""421070015003"":4}","{""US"":13}",845,38,"{""<5"":0,""5-10"":5,""11-20"":2,""21-60"":5,""61-120"":3,""121-240"":1,"">240"":1}","{""Dollar General"":27,""Weis Markets"":7,""Boscov's"":7,""Dunham's Sports"":7,""Cracker Barrel"":7,""The Tire Choice & Total Car Care"":7,""Sunoco"":7}","{""Walmart"":43,""Turkey Hill"":43,""Dollar General"":36,""Burger King"":21,""McDonald's"":21,""Sheetz"":14,""Rite Aid"":14,""CITGO"":14,""The Tire Choice & Total Car Care"":14,""Sunoco"":14,""Dunkin'"":14,""Dollar Tree"":14,""Family Dollar Stores"":14,""Rita's Italian Ice"":7,""The Primary Health Network"":7,""Weis Markets"":7,""Ramada"":7,""NAPA Auto Parts"":7,""Boscov's"":7,""Select Specialty Hospital"":7}","{""android"":7,""ios"":6}",223.7471537,2.75E-05,4.12E-05,1.16E-06,3.13E-06
223-222@63h-s65-rx5,,Mediterranean Restaurant & Cafe,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,39.445622,-83.827736,53 E Main St,Wilmington,OH,45177,US,19373826300,,"Pizza,Greek Food",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,97,77,"[9,19,23,13,21,12,0]","[0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,3,0,0,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,3,0,3,1,1,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,1,2,7,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",390279646004,"{""390279647003"":10,""390279644002"":9,""390279646004"":6,""390719546004"":4,""391650311002"":4,""390279644003"":4,""390279645003"":4,""390279648002"":4,""390279650001"":4,""390279648001"":4,""390279647004"":4,""390279643001"":4,""390279645002"":4,""390279648003"":4,""390279651002"":4,""390279647002"":4}","{""39027964700"":14,""39027964400"":13,""39027964500"":9,""39027965100"":4,""39071954600"":4,""39113020700"":4,""39027964600"":4,""39071954800"":4,""39165031100"":4,""37081016205"":4,""39027964800"":4,""39165031903"":4}","{""390279647003"":8,""390279644002"":6,""391130501031"":4,""390279643001"":4,""391650315004"":4,""390279647002"":4,""390159512011"":4,""390279651003"":4,""390279651001"":4,""390479260004"":4,""390279644003"":4,""390279646001"":4,""390719547004"":4,""390279645001"":4,""391419560003"":4,""390279648001"":4,""390279645002"":4}","{""US"":78}",7226,42,"{""<5"":1,""5-10"":10,""11-20"":13,""21-60"":42,""61-120"":17,""121-240"":9,"">240"":5}","{""Kroger"":9,""Walmart"":8,""Speedway"":8,""McDonald's"":8,""Ollie's Bargain Outlet"":4,""Goodwill Industries"":4,""Lowe's"":3,""Gold Star Chili"":3,""UDF (United Dairy Farmers)"":3,""Chick-fil-A"":3,""Holiday Inn Express"":3,""Shoe Sensation"":2,""City Barbeque"":2,""The Christ Hospital"":2,""Roosters Wings"":2,""Burger King"":2,""Smyth Auto Parts"":2,""Marathon"":2,""Dollar Tree"":2,""Family Dollar Stores"":2}","{""Walmart"":38,""McDonald's"":36,""Kroger"":32,""Speedway"":26,""UDF (United Dairy Farmers)"":22,""Lowe's"":16,""Dollar General"":16,""Wendy's"":16,""Skyline Chili"":13,""Marathon"":13,""Dairy Queen"":12,""Ollie's Bargain Outlet"":10,""Goodwill Industries"":10,""Taco Bell"":10,""Roosters Wings"":10,""Smyth Auto Parts"":10,""Dollar Tree"":9,""Family Dollar Stores"":9,""Frisch's Big Boy"":8,""Gold Star Chili"":8}","{""android"":47,""ios"":31}",1112.813708,4.90E-05,6.16E-05,5.59E-06,1.59E-05
zzw-222@8gg-sdb-k9f,,College Hunks Hauling Junk and Moving,,,Waste Management and Remediation Services,,562,34.865853,-82.142586,2486 Highway 101 S,Greer,SC,29651,US,18644281850,,"Movers,Junk Removal",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,43,14,"[6,11,7,10,8,1,0]","[0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",450830234051,"{""450830234041"":4,""450070101043"":4,""450830230013"":4,""450830234042"":4}","{""45083023404"":4,""45083023001"":4}","{""450830230011"":4,""450070101043"":4,""450830234041"":4,""450830234051"":4}","{""US"":14}",7922,35,"{""<5"":1,""5-10"":6,""11-20"":1,""21-60"":28,""61-120"":7,""121-240"":0,"">240"":0}","{""Academy Sports + Outdoors"":23,""QuikTrip"":20,""Chick-fil-A"":20,""Dollar General"":11,""Little Caesars"":9,""Peterbilt"":9,""Ferrellgas"":9,""Spinx"":9,""Exxon Mobil"":9,""Goodwill Industries"":6,""Zaxby's"":6,""McDonald's"":6,""Walmart"":3,""ULTA Beauty"":3,""Target"":3,""Planet Fitness"":3,""Cinnabon"":3,""Walmart Pharmacy"":3,""Renewal By Anderson"":3,""Old Navy"":3}","{""Chick-fil-A"":50,""QuikTrip"":43,""Exxon Mobil"":43,""Target"":36,""Academy Sports + Outdoors"":36,""Dollar General"":29,""CVS"":29,""Little Caesars"":21,""Zaxby's"":21,""Bojangles'"":21,""Volkswagen"":21,""Spinx"":21,""Walmart"":14,""Goodwill Industries"":14,""Old Navy"":14,""Lowe's"":14,""7-Eleven"":14,""Starbucks"":14,""Costco Gasoline"":14,""Ferrellgas"":14}","{""android"":0,""ios"":11}",473.1748321,0.028685791,0.052696078,4.31E-06,5.35E-06
222-222@63d-77p-mzf,,Dave Wade Auto Service,,,Automotive Repair and Maintenance,,8111,40.438146,-80.053879,1737 Noblestown Rd,Pittsburgh,PA,15205,US,14129228227,,Auto Repair,,2020-01,2019-07,POLYGON,,,,,,,,,,,,,,,,,,0,0,0,0,0
223-222@8gd-kd7-wp9,,Tractor Supply Co.,SG_BRAND_974825b578ac6df2330cf472fc2d9e57,Tractor Supply Co.,Building Material and Supplies Dealers,Hardware Stores,444130,32.438362,-80.72312,36 Parris Island Gtwy,Burton,SC,29906,US,18433220250,"{ ""Mon"": [[""8:00"", ""21:00""]], ""Tue"": [[""8:00"", ""21:00""]], ""Wed"": [[""8:00"", ""21:00""]], ""Thu"": [[""8:00"", ""21:00""]], ""Fri"": [[""8:00"", ""21:00""]], ""Sat"": [[""8:00"", ""21:00""]], ""Sun"": [[""9:00"", ""19:00""]] }","Gardening,Livestock Supply,Outdoor Power Equipment,Farming Equipment,Hardware and Tools",,,2020-06,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,152,142,"[19,20,12,28,22,21,30]","[0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,2,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,2,2,2,3,2,6,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,5,1,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,3,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,9,2,2,1,4,0,0,0,0,0,0,0]",450130005013,"{""450130002003"":8,""450130005033"":7,""450130009011"":7,""450130009021"":6,""450130001001"":6,""450130001003"":5,""450539502012"":5,""450499203001"":5,""450130005021"":5,""450130003002"":4,""450130005013"":4,""450130009023"":4,""130311109003"":4,""450299703003"":4,""450539501001"":4,""450130011021"":4,""450130105002"":4,""450130003003"":4,""450130007006"":4,""450130009031"":4,""450130005031"":4,""450130007001"":4,""450539501004"":4,""450130005011"":4,""450499202004"":4,""450130002001"":4,""450499203002"":4,""450130005022"":4,""450130009022"":4,""450130021062"":4}","{""45013000503"":13,""45013000902"":13,""45013000200"":12,""45013000300"":10,""45013000501"":9,""45013000502"":8,""45013000700"":7,""45013000100"":7,""45049920300"":6,""45013000901"":6,""45053950202"":4,""45013001102"":4,""45049920200"":4,""45053950100"":4,""45013000903"":4,""45013000800"":4,""13031110900"":4,""45029970200"":4,""45029970300"":4,""45049920100"":4}","{""450130005021"":7,""450130009031"":6,""450130003002"":6,""450130007001"":6,""450130005033"":5,""450130002002"":4,""450539502024"":4,""450130105002"":4,""450130003003"":4,""450130011021"":4,""450130005022"":4,""450539502012"":4,""450499203002"":4,""450130007002"":4,""450499204002"":4,""450130021042"":4,""450130009011"":4,""450130002003"":4,""450130009021"":4,""450130004001"":4,""450539501003"":4,""450130002001"":4,""450130011012"":4,""450130005012"":4,""450130009022"":4,""450130009023"":4,""450539503001"":4,""450130005013"":4,""450130021022"":4,""450130007006"":4,""450130001003"":4,""450499202004"":4,""450499203001"":4,""450130021062"":4}","{""US"":140}",7927,13,"{""<5"":6,""5-10"":59,""11-20"":41,""21-60"":45,""61-120"":0,""121-240"":1,"">240"":0}","{""Walmart"":17,""Parker's Corp"":13,""Lowe's"":9,""Sonic"":9,""PetSmart"":8,""Big Lots Stores"":7,""Food Lion"":5,""Dollar General"":5,""Circle K"":5,""Waffle House"":5,""Chick-fil-A"":4,""Enmarket"":4,""Outback Steakhouse"":4,""Harbor Freight Tools"":3,""O'Reilly Auto Parts"":3,""Walgreens"":3,""Cellular Sales"":3,""Wayback Burgers"":3,""Bruster's Ice Cream"":3,""Dollar Tree"":3}","{""Walmart"":46,""Parker's Corp"":42,""Lowe's"":25,""Food Lion"":25,""McDonald's"":18,""PetSmart"":18,""Dollar General"":17,""Enmarket"":17,""Circle K"":16,""Chick-fil-A"":16,""Sonic"":14,""Shell Oil"":13,""Publix Super Markets"":13,""Walgreens"":12,""Waffle House"":11,""Cellular Sales"":10,""BP"":10,""LongHorn Steakhouse"":10,""Dollar Tree"":10,""Piggly Wiggly"":9}","{""android"":71,""ios"":71}",1672.618011,0.001558063,0.002079998,1.52E-05,5.43E-05
zzy-222@63p-737-j35,,Green Michael J MD,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,40.272359,-76.659481,6700 Cherry Dr,Hershey,PA,17033,US,,,,,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,6,6,"[0,1,1,1,1,0,2]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0]",420430241054,"{""420430229006"":4}","{""42043024102"":4}","{""420430240013"":4}","{""US"":5}",7819,19,"{""<5"":0,""5-10"":2,""11-20"":2,""21-60"":1,""61-120"":0,""121-240"":1,"">240"":0}","{""Rutter's Farm Stores"":17,""Target"":17,""Norfolk Southern"":17,""Sheetz"":17,""GIANT Food Stores"":17,""Friendly's"":17}","{""Turkey Hill"":33,""Orangetheory Fitness"":33,""Sheetz"":33,""Walmart"":17,""Rutter's Farm Stores"":17,""Target"":17,""Michael Kors"":17,""Chipotle Mexican Grill"":17,""VP Racing Fuels"":17,""Olive Garden"":17,""Norfolk Southern"":17,""Penn State Health"":17,""Goodwill Industries"":17,""Tanger Outlets"":17,""The Salvation Army"":17,""CVS Pharmacy"":17,""First Watch Restaurants"":17,""Five Below"":17,""Papa John's"":17,""Starbucks"":17}","{""android"":0,""ios"":4}",78.96958365,6.35E-05,9.10E-05,4.09E-07,1.34E-06
227-222@64h-vmd-v75,,Metro by T Mobile Authorized Dealer,,,Electronics and Appliance Stores,Electronics Stores,443142,36.849356,-76.210497,509 N Military Hwy Ste B,Norfolk,VA,23502,US,17574616727,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""11:00"", ""19:00""]] }","Cellphones,Electronics,Cell Phone Accessories",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,6,5,"[0,1,3,0,1,1,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",517100070021,"{""515500200022"":4}","{""51550020002"":4}","{""515500200022"":4}","{""US"":7}",5027,42.5,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":3,""61-120"":0,""121-240"":0,"">240"":2}","{""Captain D's Seafood Restaurant"":33,""Hibbett Sports"":17,""Walmart"":17,""Econo Lodge"":17,""Target"":17,""7-Eleven"":17,""Dollar General"":17,""Magnuson Independent"":17,""Wawa"":17,""Kirkland's"":17,""Walgreens"":17,""McDonald's"":17,""CVS"":17,""Dollar Tree"":17}","{""Taco Bell"":60,""7-Eleven"":60,""Wawa"":60,""McDonald's"":60,""Walmart"":40,""Starbucks"":40,""CITGO"":40,""Bojangles'"":40,""Captain D's Seafood Restaurant"":40,""Hibbett Sports"":20,""Chanello's Pizza"":20,""Econo Lodge"":20,""California Pizza Kitchen"":20,""Target"":20,""Goodwill Industries"":20,""Apria"":20,""KFC"":20,""Baskin Robbins"":20,""Popeyes Louisiana Kitchen"":20,""Dollar General"":20}","{""android"":0,""ios"":4}",86.83008093,2.61E-04,3.63E-04,5.69E-07,1.71E-06
225-222@8gc-7gr-m49,,Copper Penny of Charleston,,,Clothing Stores,,4481,32.783704,-79.935162,311 King St,Charleston,SC,29401,US,18437232999,,"Accessories,Women's Clothing",,,2019-07,POLYGON,2022-04-18T00:00:00-04:00,2022-04-25T00:00:00-04:00,14,14,"[2,1,2,4,3,0,2]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0]",450190004002,"{""450510602042"":4,""450190004002"":4}","{""45019004609"":4,""45019000400"":4}","{""450150209042"":4}","{""US"":16}",20118,17.5,"{""<5"":0,""5-10"":3,""11-20"":6,""21-60"":4,""61-120"":0,""121-240"":1,"">240"":0}","{""Clean Juice"":14,""Barnes and Noble College"":14,""Raising Cane's"":14,""CVS"":14,""Jimmy John's"":7,""Homewood Suites by Hilton"":7,""Smoothie King"":7,""Groucho's Deli"":7,""Five Guys"":7,""Motto by Hilton"":7,""Charlotte Tilbury"":7,""Spinx"":7,""Lowes Foods"":7}","{""CVS"":50,""McDonald's"":36,""Walmart"":29,""Shell Oil"":29,""Wendy's"":21,""Chick-fil-A"":21,""Jimmy John's"":14,""Chipotle Mexican Grill"":14,""Clean Juice"":14,""Cook Out"":14,""Barnes and Noble College"":14,""Motto by Hilton"":14,""Raising Cane's"":14,""Logan's Roadhouse"":14,""Cracker Barrel"":14,""Waffle House"":14,""Sunoco"":14,""Smoker Friendly"":7,""Little Caesars"":7,""Hotel Indigo"":7}","{""android"":0,""ios"":9}",154.0569221,2.71E-04,3.25E-04,1.40E-06,5.35E-06
