placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,phone_number,date_range_start,date_range_end,raw_visitor_count
23j-222@8gf-dt2-5cq,Poke Bar,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,35.209399,-80.835555,601 S Kings Dr Ste K,Charlotte,NC,28204,19802998988,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzy-222@63r-b4w-5s5,Best Price Auto Glass Baltimore,Automotive Repair and Maintenance,Automotive Glass Replacement Shops,811122,39.27146,-76.644563,1320 Western Ave,Baltimore,MD,21230,13013551113,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
zzw-223@63j-f6f-nh5,American Family Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,39.641889,-84.160186,245 W Elmwood Dr,Dayton,OH,45459,19374394449,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
22b-223@63v-bdg-mhq,Rent A Wreck,Automotive Equipment Rental and Leasing,Passenger Car Rental,532111,41.476833,-81.756513,10225 Madison Ave,Cleveland,OH,44102,12162817340,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,21
222-222@63s-sjn-xnq,Heller Auto Sales,Automobile Dealers,Used Car Dealers,441120,39.890622,-77.246511,2250 Biglerville Rd,Gettysburg,PA,17325,17173373639,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,24
222-223@63m-mxg-cqz,Ballad Health,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,36.877032,-82.754336,1990 Holton Ave E,Big Stone Gap,VA,24219,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
225-222@63d-rfq-59f,Edward Jones,Other Financial Investment Activities,Miscellaneous Financial Investment Activities,523999,39.990388,-81.571637,61322 Southgate Rd Ste 5,Cambridge,OH,43725,17404351052,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,103
zzz-223@628-btx-t35,Birchwood Park,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.64069,-75.319772,Birchwood Park,Bethlehem,PA,18020,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,566
223-222@63j-zg5-q4v,Kidney Care Centers Of Coshocton Ohio,Outpatient Care Centers,Kidney Dialysis Centers,621492,40.296175,-81.849555,23649 Airport Rd,Coshocton,OH,43812,17402918030,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,0
22j-222@63g-rdn-nt9,Leigh Street Baptist Church,Religious Organizations,Religious Organizations,813110,37.533691,-77.416353,517 N 25th St,Richmond,VA,23223,,2022-03-21T00:00:00-04:00,2022-03-28T00:00:00-04:00,597
